CCode,CName,Code,PSname,PSaddress
R23,Chun Ma,R2302,Yan Oi Tong H.K. Toi Shan Association Elderly Centre,"G/F, 1 Tsun King Road, Royal Ascot, Fo Tan, Sha Tin, New Territories"
R24,Chung On,R2401,Christian Alliance Toi Shan H. C. Chan Primary School,"Chung On Estate, Ma On Shan, Sha Tin, New Territories"
R25,Kam To,R2501,CUHKFAA Chan Chun Ha Secondary School,"632 Sai Sha Road, Chung On Estate, Ma On Shan, Sha Tin, New Territories"
R26,Ma On Shan Town Centre,R2601,Hong Kong Taoist Association Shun Yeung Primary School,"30 On Chun Street, Ma On Shan, Sha Tin, New Territories"
R27,Lee On,R2701,Ma On Shan Ling Liang Primary School,"Lee On Estate, Ma On Shan, Sha Tin, New Territories"
R28,Fu Lung,R2801,Caritas Ma On Shan Secondary School,"2 Kam Ying Road, Ma On Shan, Sha Tin, New Territories"
R29,Wu Kai Sha,R2901,Lee On Community Hall,"Lee On Community Services Complex, 23 Sha On Street, Ma On Shan, Sha Tin, New Territories"
R30,Kam Ying,R3001,Ng Clan's Association Tai Pak Memorial School,"Kam Ying Court, Ma On Shan, Sha Tin, New Territories"
R30,Kam Ying,R3002,TWGHs Wong Fung Ling College,"208 Ma On Shan Road, Ma On Shan, Sha Tin, New Territories"
R31,Yiu On,R3101,PLK Chong Kee Ting Primary School,"Yiu On Estate, Ma On Shan, Sha Tin, New Territories"
R32,Heng On,R3201,Ma On Shan St. Joseph's Primary School,"Estate Primary School No.1, Heng On Estate, Ma On Shan, Sha Tin, New Territories"
R32,Heng On,R3202,Heng On Estate Community Centre,"Heng On Estate, Ma On Shan, Sha Tin, New Territories"
R33,On Tai,R3301,Tak Sun Secondary School,"27 Ning Tai Road, Ma On Shan, Sha Tin, New Territories"
R34,Tai Shui Hang,R3401,Kowloon City Baptist Church Hay Nien Primary School,"Chevalier Garden, 3 Hang Shun Street, Ma On Shan, Sha Tin, New Territories"
R34,Tai Shui Hang,R3402,The ELCHK Ma On Shan Lutheran Primary School,"Estate Primary School No.2, Heng On Estate, Ma On Shan, Sha Tin, New Territories"
R36,Bik Woo,R3601,Leung Kui Kau Lutheran Primary School,"5 On King Street, Sha Tin, New Territories"
R36,Bik Woo,R3602,Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,"6 On Muk Lane, Shek Mun, Sha Tin, New Territories"
R37,Kwong Hong,R3701,Shatin Methodist Primary School,"Shatin Methodist Primary School, Shatin, New Territories"
R38,Kwong Yuen,R3801,Kwong Yuen Community Hall,"Kwong Yuen Estate, Sha Tin, New Territories"
S01,Kwai Hing,S0101,CNEC Ta Tung School,"Kwai Hing Estate, Kwai Chung, New Territories"
