"CCode","CName","Code","PSname","PSaddress","lon","lat"
"G17","Hok Yuen Laguna Verde","G1701","POH Mrs Yam Wing Yin Kindergarten Day Nursery","G/F, Tower 23, Laguna Verde, Hung Hom, Kowloon",114.1897721,22.3093155
"G17","Hok Yuen Laguna Verde","G1702","Hung Hom Community Hall","UG/F, Kowloon City Government Offices, 42 Bailey Street, Hung Hom, Kowloon",114.1897405,22.3119844
"G18","Whampoa East","G1801","GCE Past Students' Association Whampoa Primary School","30 Tak On Street, Whampoa Garden, Hung Hom, Kowloon",114.191428,22.303461
"G19","Whampoa West","G1901","SKH Fung Kei Millennium Primary School","2 Tak Ting Street, Whampoa Garden, Hung Hom, Kowloon",114.191319,22.3043625
"G20","Hung Hom Bay","G2001","SKH Holy Carpenter Secondary School","10 Tai Wan Road, Hung Hom, Kowloon",114.1880191,22.3075814
"G21","Hung Hom","G2101","Hung Hom Municipal Services Building Sports Centre","3/F, Hung Hom Municipal Services Building, 11 Ma Tau Wai Road, Hung Hom, Kowloon",114.1873966,22.3073471
"G23","Oi Man","G2301","Ho Man Tin Sports Centre","1 Chung Yee Street, Homantin, Kowloon",114.181075,22.3117701
"G24","Oi Chun","G2401","Martha Boss Lutheran Community Centre","1/F, 89 Chung Hau Street, Homantin, Kowloon",114.179297,22.3162725
"H01","Lung Tsui","H0101","Wong Tai Sin Community Centre","104 Ching Tak Street, Wong Tai Sin, Kowloon",114.1943055,22.3409395
"H02","Lung Ha","H0201","Wong Tai Sin Government Primary School","100 Ching Tak Street, Wong Tai Sin, Kowloon",114.1934376,22.340925
"H03","Lung Sheung","H0301","Lung Cheung Government Secondary School","1 Ma Chai Hang Road, Wong Tai Sin, Kowloon",114.1900951,22.342838
"H04","Fung Wong","H0401","Sik Sik Yuen Clinic","G/F, Unit C, Sik Sik Yuen Social Services Complex, 38 Fung Tak Road, Wong Tai Sin, Kowloon",114.197491,22.3429995
"H05","Fung Tak","H0501","Fung Tak Estate Community Centre","Fung Tak Estate, 111 Fung Tak Road, Diamond Hill, Kowloon",114.2012565,22.3443341
"H06","Lung Sing","H0601","The Boys' & Girls' Clubs Association of Hong Kong Jockey Club Tsz Wan Shan Children & Youth Integrated Services Centre","Lung Poon Court, Diamond Hill, Kowloon",114.2012097,22.3414846
"H06","Lung Sing","H0602","Chun Tok School","171 Hammer Hill Road, Diamond Hill, Kowloon",114.2070891,22.340254
"H07","San Po Kong","H0701","PLK Stanley Ho Sau Nan Primary School","30 Hong Keung Street, San Po Kong, Kowloon",114.1967146,22.3352396
"H07","San Po Kong","H0702","Canossa Primary School (San Po Kong)","9 Choi Yee Lane, San Po Kong, Kowloon",114.2018124,22.337021
"H08","Tung Tau","H0801","Tung Tau Community Centre","26 Lok Sin Road, Wong Tai Sin, Kowloon",114.1934394,22.3319891
"H09","Tung Mei","H0901","SKH Kei Tak Primary School","Tai Shing Street, Wong Tai Sin, Kowloon",114.193752,22.337687
"H10","Lok Fu","H1001","Morse Park Sports Centre","40 Fung Mo Street, Wong Tai Sin, Kowloon",114.1900689,22.3383382
"H12","Tin Keung","H1201","Price Memorial Catholic Primary School","Tin Ma Court, 53 Chuk Yuen Road, Wong Tai Sin, Kowloon",114.1905933,22.3430815
"H12","Tin Keung","H1202","Kit Sam Lam Bing Yim Secondary School","9 Fu Mei Street, Wang Tau Hom, Kowloon",114.1852266,22.3410195
